--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:45:10.758 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:10.768 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:10.808 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:10.808 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:10.818 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:10.818 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:10.818 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:10.938 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:10.938 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:10.938 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:10.978 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:10.978 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:10.998 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:10.998 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:10.998 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:11.098 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:11.108 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:11.108 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:11.148 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:11.148 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:11.168 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:11.168 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:11.168 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:11.268 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:11.278 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:11.278 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:11.318 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:11.318 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:11.338 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:11.338 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:11.338 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:11.449 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:11.459 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:11.459 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:11.499 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:11.499 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:11.509 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:11.509 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:11.509 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:11.659 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:11.669 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:11.669 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:11.719 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:11.719 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:11.729 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:11.729 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:11.729 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:11.849 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:11.859 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:11.859 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:11.889 I/libframegrabber(11913): ---avcodec_decode_video2 ED
