--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:51:48.346 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.346 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:48.356 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:48.356 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:48.356 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:48.466 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:48.486 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:48.486 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:48.516 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.516 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:48.536 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:48.536 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:48.536 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:48.646 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:48.646 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:48.646 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:48.696 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.696 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:48.706 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:48.706 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:48.706 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:48.816 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:48.816 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:48.816 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:48.826 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.826 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:48.836 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:48.836 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:48.836 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:48.956 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:48.956 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:48.956 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:48.996 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.996 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:49.006 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:49.006 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:49.006 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:49.117 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:49.117 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:49.117 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:49.167 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:49.167 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:49.177 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:49.177 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:49.177 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:49.297 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:49.297 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:49.297 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:49.337 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:49.337 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:49.347 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:49.347 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:49.347 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:49.457 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:49.457 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:49.467 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:49.507 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:49.507 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:49.527 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:49.527 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:49.527 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:49.647 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:49.647 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:49.647 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:49.697 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:49.697 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:49.707 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:49.707 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:49.707 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:49.817 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:49.817 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:49.817 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:49.867 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:49.867 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:49.867 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:49.867 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:49.867 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:49.997 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:49.997 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:49.997 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:50.037 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:50.037 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:50.047 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:50.047 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:50.047 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:50.148 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:50.158 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:50.168 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:50.208 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:50.208 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:50.228 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:50.228 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:50.228 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:50.358 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:50.358 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:50.368 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:50.408 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:50.408 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:50.418 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:50.418 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:50.418 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:50.558 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:50.568 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:50.568 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:50.608 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:50.608 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:50.618 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:50.618 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:50.618 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:50.748 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:50.748 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:50.748 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:50.748 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:50.748 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:50.758 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:50.758 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:50.758 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:50.888 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:50.898 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:50.898 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:50.938 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:50.938 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:50.948 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:50.948 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:50.948 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:51.068 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:51.078 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:51.088 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:51.109 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:51.119 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:51.129 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.129 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.129 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:51.249 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:51.259 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:51.259 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:51.299 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:51.309 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
