--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:03:31.780 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.790 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:31.830 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:31.830 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:31.840 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:31.840 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:31.840 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.960 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.970 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.970 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.020 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.020 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.030 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.030 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.030 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:32.140 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:32.150 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:32.160 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.200 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.200 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.210 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.210 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.210 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:32.350 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:32.350 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:32.350 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.390 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.390 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.400 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.400 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.400 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:32.521 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:32.521 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:32.521 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.571 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.571 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.581 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.581 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.581 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:32.711 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:32.711 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:32.711 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.741 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.741 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.751 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.751 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.751 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:32.891 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:32.891 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:32.891 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.921 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.921 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.931 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.931 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.931 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:33.061 I/libframegrabber(11612): ---sws_scale ED
