--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:57:48.327 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:48.437 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:48.437 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:48.447 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:48.487 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:48.487 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:48.497 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:48.497 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:48.497 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:48.617 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:48.617 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:48.627 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:48.667 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:48.667 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:48.687 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:48.687 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:48.687 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:48.777 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:48.787 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:48.797 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:48.838 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:48.838 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:48.848 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:48.848 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:48.848 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:48.958 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:48.968 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:48.968 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:49.018 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:49.018 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:49.028 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:49.028 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:49.028 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:49.148 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:49.148 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:49.148 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:49.188 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:49.198 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:49.208 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:49.208 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:49.208 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:49.318 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:49.318 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:49.318 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:49.348 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:49.348 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:49.368 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:49.368 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:49.368 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:49.488 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:49.488 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:49.498 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:49.528 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:49.528 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:49.538 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:49.538 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:49.538 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:49.648 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:49.648 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:49.648 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:49.698 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:49.698 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:49.708 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:49.708 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:49.708 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:49.828 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:49.828 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:49.838 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:49.838 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:49.838 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:49.859 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:49.859 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:49.859 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:49.979 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:49.979 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:49.979 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:50.019 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:50.019 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:50.039 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.039 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.039 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:50.149 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:50.149 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:50.149 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:50.169 I/libframegrabber(12034): ---avcodec_decode_video2 ED
