--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:31:20.478 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:20.488 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:20.498 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:20.498 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:20.498 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:20.638 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:20.638 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:20.648 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:20.708 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:20.708 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:20.718 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:20.718 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:20.718 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:20.858 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:20.858 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:20.868 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:20.908 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:20.918 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:20.928 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:20.928 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:20.928 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:21.078 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:21.088 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:21.098 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:21.149 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:21.149 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:21.159 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:21.159 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:21.159 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:21.319 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:21.319 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:21.319 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:21.379 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:21.379 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:21.389 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:21.389 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:21.389 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:21.549 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:21.549 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:21.569 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:21.609 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:21.619 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:21.629 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:21.629 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:21.629 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:21.759 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:21.779 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:21.779 I/SimpleVideoView(11718): ---draw_on_canvas ED
