--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:38:38.325 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:38.325 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:38.375 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:38.375 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:38.375 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:38.375 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:38.375 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:38.505 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:38.505 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:38.515 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:38.555 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:38.555 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:38.575 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:38.575 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:38.575 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:38.695 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:38.705 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:38.705 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:38.745 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:38.745 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:38.755 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:38.755 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:38.755 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:38.886 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:38.886 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:38.886 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:38.926 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:38.936 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:38.946 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:38.946 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:38.946 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:39.086 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:39.086 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:39.086 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:39.136 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:39.136 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:39.146 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:39.146 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:39.146 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:39.266 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:39.276 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:39.286 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:39.316 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:39.316 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:39.336 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:39.336 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:39.336 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:39.466 I/libframegrabber(11862): ---sws_scale ED
